sample_id,group,model,sloc,nom,wmc,nof,n_smells,td_density,smell_LongMethod,smell_HighComplexity,smell_ComplexConditional,smell_GodClass,smell_LongParamList,smell_DeepNesting,smell_Duplicate
ClassEval_0,AI,Qwen2.5-Coder-1.5B,28,5,11,1,0,0.0,0,0,0,0,0,0,0
ClassEval_1,AI,Qwen2.5-Coder-1.5B,13,6,6,1,0,0.0,0,0,0,0,0,0,0
ClassEval_2,AI,Qwen2.5-Coder-1.5B,26,5,10,3,0,0.0,0,0,0,0,0,0,0
ClassEval_3,AI,Qwen2.5-Coder-1.5B,19,6,10,1,0,0.0,0,0,0,0,0,0,0
ClassEval_4,AI,Qwen2.5-Coder-1.5B,46,7,21,1,0,0.0,0,0,0,0,0,0,0
ClassEval_5,AI,Qwen2.5-Coder-1.5B,19,3,10,1,1,52.631578947368425,0,0,0,0,0,1,0
ClassEval_6,AI,Qwen2.5-Coder-1.5B,17,3,5,2,0,0.0,0,0,0,0,0,0,0
ClassEval_7,AI,Qwen2.5-Coder-1.5B,15,3,8,4,0,0.0,0,0,0,0,0,0,0
ClassEval_8,AI,Qwen2.5-Coder-1.5B,18,5,8,1,0,0.0,0,0,0,0,0,0,0
ClassEval_9,AI,Qwen2.5-Coder-1.5B,49,3,19,0,1,20.408163265306122,0,0,0,0,0,0,1
ClassEval_10,AI,Qwen2.5-Coder-1.5B,15,5,11,1,0,0.0,0,0,0,0,0,0,0
ClassEval_11,AI,Qwen2.5-Coder-1.5B,17,4,13,0,0,0.0,0,0,0,0,0,0,0
ClassEval_12,AI,Qwen2.5-Coder-1.5B,19,4,11,3,0,0.0,0,0,0,0,0,0,0
ClassEval_13,AI,Qwen2.5-Coder-1.5B,18,5,9,1,0,0.0,0,0,0,0,0,0,0
ClassEval_14,AI,Qwen2.5-Coder-1.5B,22,7,7,2,0,0.0,0,0,0,0,0,0,0
ClassEval_15,AI,Qwen2.5-Coder-1.5B,20,4,9,4,0,0.0,0,0,0,0,0,0,0
ClassEval_16,AI,Qwen2.5-Coder-1.5B,39,4,18,1,1,25.641025641025642,0,1,0,0,0,0,0
ClassEval_17,AI,Qwen2.5-Coder-1.5B,18,7,11,1,1,55.55555555555556,0,0,0,0,0,1,0
ClassEval_18,AI,Qwen2.5-Coder-1.5B,17,8,12,1,0,0.0,0,0,0,0,0,0,0
ClassEval_19,AI,Qwen2.5-Coder-1.5B,18,3,9,2,0,0.0,0,0,0,0,0,0,0
ClassEval_20,AI,Qwen2.5-Coder-1.5B,13,5,7,1,0,0.0,0,0,0,0,0,0,0
ClassEval_21,AI,Qwen2.5-Coder-1.5B,33,5,16,2,1,30.3030303030303,0,0,1,0,0,0,0
ClassEval_22,AI,Qwen2.5-Coder-1.5B,10,3,4,2,0,0.0,0,0,0,0,0,0,0
